Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2021-02-12 13:44:40.99,2021-02-12 21:44:40.99,43.76028144359589,39.986760,116.490357,14.53848904486521,38.6830481979996,9.64640708178093,343.2665689027933,13.3182746788449,0,270.1820373535156,265.923583984375,273.2421264648438,10,170.3803325001585,0
2021-02-12 13:44:41.99,2021-02-12 21:44:41.99,44.76026999950409,39.986746,116.490202,14.56289062812304,38.67505218740553,9.609529116893556,356.5445367621663,13.33599460280534,0,270.1820373535156,266.9338989257812,274.25244140625,10,231.2457745932952,0
2021-02-12 13:44:42.99,2021-02-12 21:44:42.99,45.7602618932724,39.986737,116.490053,14.577221537177,38.54165714886039,9.58777583963882,369.3190676040003,13.10131578195406,0,270.1820373535156,263.8470458984375,271.1655883789062,10,350.4527450578829,0
2021-02-12 13:44:43.99,2021-02-12 21:44:43.99,46.76025068759918,39.986732,116.489908,14.56736081594195,38.37389062903821,9.602751280401778,381.7149908510584,13.16280365229609,0,269.6572570800781,266.945068359375,274.2636108398438,10,303.0387713126964,0
2021-02-12 13:44:44.99,2021-02-12 21:44:44.99,47.76024079322815,39.986730,116.489744,14.56872596109767,38.71750416141003,9.600680036619163,395.7038816423354,14.08264132184005,0,269.6572570800781,270.0396118164062,277.358154296875,10,444.070518747615,0
2021-02-12 13:44:45.99,2021-02-12 21:44:45.99,48.76023006439209,39.986728,116.489564,14.56380427855789,38.8432825608179,9.608144369801993,411.0671515719979,15.65790153018153,0,269.5821533203125,270.0396118164062,277.358154296875,10,638.8825939758964,0
2021-02-12 13:44:46.99,2021-02-12 21:44:46.99,49.76022040843964,39.986720,116.489371,14.56517345636911,38.98112547490746,9.606068679797135,427.5589999740118,16.6950486656291,0,269.5821533203125,271.0548095703125,278.3733520507812,10,-1839.584335244436,0
2021-02-12 13:44:47.99,2021-02-12 21:44:47.99,50.76021099090576,39.986708,116.489165,14.57586103578485,38.81420204974711,9.589844021702749,445.1768607214381,17.30175461769251,0,269.5821533203125,271.0548095703125,278.3733520507812,10,-1230.741049624967,0
2021-02-12 13:44:48.99,2021-02-12 21:44:48.99,51.76020109653473,39.986691,116.488964,14.59690774267698,38.5444205570966,9.557777861348098,462.4148061983024,17.33142833085667,0,269.5821533203125,271.0548095703125,278.3733520507812,10,-888.7469310045083,0
2021-02-12 13:44:49.99,2021-02-12 21:44:49.99,52.7601912021637,39.986685,116.488771,14.60228509707887,38.41204681806266,9.549560368871816,478.9154157927276,17.45694001383976,0,269.5821533203125,271.0548095703125,278.3733520507812,10,-656.4950042477478,0
2021-02-12 13:44:50.99,2021-02-12 21:44:50.99,53.76018095016479,39.986677,116.488580,14.61380496830208,38.37291780859232,9.531922033017697,495.2177597454684,17.35168896565514,0,269.5821533203125,271.0548095703125,278.3733520507812,10,-461.2135373374904,0
2021-02-12 13:44:51.99,2021-02-12 21:44:51.99,54.76017117500305,39.986682,116.488378,14.63429715644253,38.26085105724633,9.500430518246894,512.4074283852568,17.39009890756476,0,269.5821533203125,270.0459899902344,277.3645324707031,10,-428.2442803995312,0
2021-02-12 13:44:52.99,2021-02-12 21:44:52.99,55.76016044616699,39.986681,116.488185,14.65412399882025,38.18396608531475,9.46981959291197,528.8888668222913,17.20889017955847,0,269.5821533203125,270.0459899902344,277.3645324707031,10,-345.5143612024928,0
2021-02-12 13:44:53.99,2021-02-12 21:44:53.99,56.76015031337738,39.986679,116.487991,14.66637025563142,38.1444638883695,9.450842122257093,545.4127257766355,17.15208207198565,0,269.5821533203125,271.05859375,278.3771362304688,10,-324.1598413696502,0
2021-02-12 13:44:54.99,2021-02-12 21:44:54.99,57.76014018058777,39.986678,116.487797,14.67296952745248,38.09312390070409,9.440593124457273,562.000692792335,17.19207308813797,0,269.5821533203125,272.0597534179688,279.3782958984375,10,-312.5192585319793,0
2021-02-12 13:44:55.99,2021-02-12 21:44:55.99,58.76013112068176,39.986672,116.487602,14.67170266266669,38.02515448722988,9.442561849063951,578.6049881582973,16.97353908825647,0,269.5821533203125,272.0597534179688,279.3782958984375,10,-353.9641576093031,0
2021-02-12 13:44:56.99,2021-02-12 21:44:56.99,59.76012313365936,39.986682,116.487410,14.67967223073499,37.85978736635298,9.430167362952101,595.0353774052567,16.7438284720761,0,269.5821533203125,271.0459594726562,278.364501953125,10,-335.0663044112153,0
2021-02-12 13:44:57.99,2021-02-12 21:44:57.99,60.76011109352112,39.986696,116.487221,14.66661403063526,37.98814946319908,9.450463807214536,611.2326604048997,16.46525715099772,0,268.9083251953125,270.0288696289062,277.347412109375,10,-333.8159510708041,0
2021-02-12 13:44:58.99,2021-02-12 21:44:58.99,61.76010024547577,39.986706,116.487039,14.67389320157405,37.99950960930437,9.43915735666579,626.8397607018519,16.27544272143984,0,268.9083251953125,269.0199890136719,276.3385314941406,10,-339.9819425498595,0
2021-02-12 13:44:59.99,2021-02-12 21:44:59.99,62.7600907087326,39.986710,116.486855,14.69342336561944,38.05872365552932,9.408726964566863,642.4893427458002,16.15695632357462,0,268.9083251953125,269.0199890136719,276.3385314941406,10,-400.7561353927211,0
2021-02-12 13:45:00.99,2021-02-12 21:45:00.99,63.7600793838501,39.986701,116.486675,14.71592374862001,38.05403897445649,9.373495693704706,657.8922485244375,16.07111799492672,0,268.9083251953125,269.0199890136719,276.3385314941406,10,-425.3130185117766,0
2021-02-12 13:45:01.99,2021-02-12 21:45:01.99,64.76007544994354,39.986692,116.486494,14.68781844611522,38.15675250440836,9.417474321125411,673.3393672381588,15.93930095794133,0,268.9083251953125,269.0199890136719,276.3385314941406,10,-525.021566478859,0
2021-02-12 13:45:02.99,2021-02-12 21:45:02.99,65.7600599527359,39.986692,116.486318,14.67851254733911,38.08835866861045,9.431972364924917,688.4081897362888,15.76829506947671,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-727.5887225418892,0
2021-02-12 13:45:03.99,2021-02-12 21:45:03.99,66.760049700737,39.986693,116.486145,14.66767906690871,38.04656953830272,9.448810723327401,703.1249216232447,15.65041089935658,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-1126.285809648522,0
2021-02-12 13:45:04.99,2021-02-12 21:45:04.99,67.76003932952881,39.986682,116.485967,14.66873123758262,38.1075646225363,9.447177206693368,718.3997436680597,15.50126708415748,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-2131.812556524944,0
2021-02-12 13:45:05.99,2021-02-12 21:45:05.99,68.76003038883209,39.986682,116.485791,14.66095089371776,38.01753251347691,9.45924691437407,733.3705379444243,15.37822492457059,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-3347.368929525612,0
2021-02-12 13:45:06.99,2021-02-12 21:45:06.99,69.76002061367035,39.986679,116.485622,14.6529874747238,37.97069702390581,9.471578081855538,747.7962195735126,14.95037621147192,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-3134.612043210705,0
2021-02-12 13:45:07.99,2021-02-12 21:45:07.99,70.76001179218292,39.986683,116.485455,14.62544223466141,37.94070643652231,9.514056586739498,762.0213858878409,14.53845534704445,0,268.8635559082031,269.0199890136719,276.3385314941406,10,-1624.057104134261,0
2021-02-12 13:45:08.99,2021-02-12 21:45:08.99,71.75999891757965,39.986687,116.485292,14.60910215086365,37.88093033060431,9.539128243226942,775.9221812878503,14.22617707371188,0,269.363525390625,269.0199890136719,276.3385314941406,10,-841.4463527295025,0
2021-02-12 13:45:09.99,2021-02-12 21:45:09.99,72.75998973846436,39.986684,116.485136,14.59307724397448,37.9324442949146,9.563625350592368,789.2544615443439,13.84779106298355,0,269.363525390625,269.0199890136719,276.3385314941406,10,-656.8308329620335,0
2021-02-12 13:45:10.99,2021-02-12 21:45:10.99,73.75998091697693,39.986688,116.484983,14.56484324040906,37.96623322833329,9.606569350054643,802.3350376619011,13.44155235422909,0,269.5913696289062,269.0199890136719,276.3385314941406,10,-582.0526577021992,0
2021-02-12 13:45:11.99,2021-02-12 21:45:11.99,74.75996959209442,39.986697,116.484836,14.54421331662306,37.97642380278558,9.637774239712369,814.91827901688,13.20068983368477,0,269.5913696289062,269.0199890136719,276.3385314941406,10,-618.8964005650568,0
2021-02-12 13:45:12.99,2021-02-12 21:45:12.99,75.75995874404907,39.986682,116.484693,14.52752941719642,38.06303840968758,9.662904445744648,827.2154342228267,12.70073048498864,0,269.5913696289062,269.0199890136719,276.3385314941406,10,-726.2400964822533,0
2021-02-12 13:45:13.99,2021-02-12 21:45:13.99,76.75995147228241,39.986681,116.484565,14.50480535940578,38.12555078975856,9.696981735615072,838.1530721401094,12.36095843867592,0,269.5913696289062,269.0199890136719,276.3385314941406,10,-961.8228465425661,0
2021-02-12 13:45:14.99,2021-02-12 21:45:14.99,77.75994002819061,39.986680,116.484427,14.49672019040776,38.15250190719962,9.709064682868426,849.9275010385733,11.93258839336936,0,270,269.0199890136719,276.3385314941406,10,-1056.153119948431,0
2021-02-12 13:45:15.99,2021-02-12 21:45:15.99,78.75992798805237,39.986680,116.484299,14.49995590852556,38.10922556743026,9.704231651496869,860.8395073845144,11.4976414790584,0,270,269.0199890136719,276.3385314941406,10,-873.164827364034,0
2021-02-12 13:45:16.99,2021-02-12 21:45:16.99,79.7599173784256,39.986680,116.484166,14.51726431082096,38.09607224259526,9.678319597164736,872.1170709492667,11.26395365606696,0,270,269.0199890136719,276.3385314941406,10,-611.4481875672129,0
2021-02-12 13:45:17.99,2021-02-12 21:45:17.99,80.75991141796112,39.986679,116.484044,14.51596801743241,38.12289165053517,9.680263726365016,882.583741400113,10.48747608295049,0,270,269.0199890136719,276.3385314941406,10,-568.7230265795882,0
2021-02-12 13:45:18.99,2021-02-12 21:45:18.99,81.75989758968353,39.986688,116.483942,14.49992350642351,37.92896757461131,9.704280066185534,891.2788835278861,8.74633598574805,0,270,269.0199890136719,276.3385314941406,10,-587.789676632967,0
2021-02-12 13:45:19.99,2021-02-12 21:45:19.99,82.75988757610321,39.986690,116.483864,14.48735526038361,37.87157911248505,9.723033006965172,897.9953093898868,7.366771215594556,0,270,269.0199890136719,276.3385314941406,10,-681.5239816992715,0
2021-02-12 13:45:20.99,2021-02-12 21:45:20.99,83.75987672805786,39.986688,116.483798,14.4835247280469,37.75758786313236,9.72873808605992,903.6228665137617,5.625217312230472,0,270,270.0383911132812,277.35693359375,10,-692.6541760922245,0
2021-02-12 13:47:04.99,2021-02-12 21:47:04.99,187.7600328922272,39.986654,116.483748,14.29126424719413,37.94905425049365,10.00902590225292,909.273649973672,3.243414559909333,0,270,345.0356750488281,352.3542175292969,10,-6.227493668561006,0
2021-02-12 13:47:05.99,2021-02-12 21:47:05.99,188.760024189949,39.986649,116.483670,14.29500413720607,38.01019500009716,10.00368382209075,915.9441925419653,6.327839227368329,0,270,357.8775634765625,5.196097373962402,10,-10.41402024366988,0
2021-02-12 13:47:06.99,2021-02-12 21:47:06.99,189.7600150108337,39.986657,116.483569,14.30590047715318,38.27437157183886,9.988095155378087,924.6507544780632,8.727825220638287,0,287.6796264648438,16.27521896362305,23.5937557220459,10,-20.42690531774845,0
2021-02-12 13:47:07.99,2021-02-12 21:47:07.99,190.7600077390671,39.986709,116.483468,14.33191131285733,37.94985042046756,9.950736224797181,935.0216231091143,11.20285847161484,0,301.7091369628906,26.32680511474609,33.64533996582031,10,-31.05996703503192,0
2021-02-12 13:47:08.99,2021-02-12 21:47:08.99,191.7599980831146,39.986787,116.483375,14.37668968505443,37.75601269584149,9.885930760163584,946.8113852982243,12.76342081841898,0,314.8876342773438,26.32680511474609,33.64533996582031,10,-39.68496453103005,0
2021-02-12 13:47:09.99,2021-02-12 21:47:09.99,192.7600103616714,39.986876,116.483253,14.43165793443367,37.6816881345585,9.805512865658617,961.1409428121287,13.8991413748939,0,313.7496643066406,26.32680511474609,33.64533996582031,10,-44.83637063861,0
2021-02-12 13:47:10.99,2021-02-12 21:47:10.99,193.7599816322327,39.986969,116.483125,14.48042355544508,37.63951464369893,9.73335332503707,976.1983715673612,14.88156203544608,0,313.4849243164062,26.32680511474609,33.64533996582031,10,-52.48234725588772,0
2021-02-12 13:47:11.99,2021-02-12 21:47:11.99,194.7599731683731,39.987056,116.482985,14.50325178599403,37.83061915915459,9.699305177545449,991.5554667263262,14.89808596830844,0,313.4849243164062,26.32680511474609,33.64533996582031,10,-64.26844528491178,0
2021-02-12 13:47:12.99,2021-02-12 21:47:12.99,195.759964466095,39.987178,116.482892,14.50523810256744,37.85705694835633,9.696334404450212,1007.311468649881,14.57508035789981,0,313.4849243164062,25.31209564208984,32.63063049316406,10,-80.2195418095297,0
2021-02-12 13:47:13.99,2021-02-12 21:47:13.99,196.7599565982819,39.987293,116.482789,14.51634621657256,37.69488568324596,9.679696576633916,1022.800633129692,14.36293800000611,0,311.3883972167969,21.00078964233398,28.31932640075684,10,-93.67263462296683,0
2021-02-12 13:47:14.99,2021-02-12 21:47:14.99,197.7599476575851,39.987367,116.482651,14.53198555923803,37.82528745662421,9.656201582464826,1037.22850618386,13.88104506175009,0,311.3883972167969,14.41602039337158,21.73455619812012,10,-104.9768539885602,0
2021-02-12 13:47:15.99,2021-02-12 21:47:15.99,198.7599388360977,39.987473,116.482555,14.54621442301578,37.87498294748366,9.634753720503005,1051.5769623179,13.71664282199997,0,308.5478475482261,13.33441638946533,20.65295219421387,10,-116.887821096041,0
2021-02-12 13:47:16.99,2021-02-12 21:47:16.99,199.7599306106567,39.987546,116.482429,14.60729083417031,37.93136494699866,9.541901685778521,1065.046747990424,13.17371040338963,0,308.0491841507194,13.33441638946533,20.65295219421387,10,-136.1606073584165,0
2021-02-12 13:47:17.99,2021-02-12 21:47:17.99,200.7599214315414,39.987624,116.482310,14.67450241018138,38.28215148113668,9.438210228040044,1078.378011925002,12.94926933939123,0,309.2792115297776,20.4072265625,27.72576141357422,10,-169.4055414376739,0
2021-02-12 13:47:18.99,2021-02-12 21:47:18.99,201.7599127292633,39.987714,116.482216,14.74487216579101,38.13419476244599,9.327892479525069,1091.181501185359,12.15809742077503,0,320.1901016068906,34.2352294921875,41.55376434326172,10,-198.6392288742549,0
2021-02-12 13:47:19.99,2021-02-12 21:47:19.99,202.7599042654037,39.987842,116.482224,14.79135453554708,38.46786041278392,9.25400801268562,1105.473818513262,11.79519117510671,0,340.1109008789062,49.5759391784668,56.89447402954102,10,-264.1900491659417,0
2021-02-12 13:47:20.99,2021-02-12 21:47:20.99,203.7598959207535,39.987924,116.482207,14.76668265543623,38.75136100780219,9.293326457665081,1114.792747775557,11.12728744655983,0,354.0910034179688,68.84934234619141,76.16787719726562,10,-348.1315374697994,0
