# x_m,y_m,w_tr_right_m,w_tr_left_m
1088.1,824.44,4,4
1092.7,824.56,4,4
1097.3,824.64,4,4
1101.9,824.69,4,4
1106.5,824.68,4,4
1111.1,824.61,4,4
1115.7,824.52,4,4
1120.3,824.37,4,4
1124.8,824.18,4,4
1129.5,823.95,4,4
1134.1,823.66,4,4
1138.7,823.34,4,4
1143.3,822.97,4,4
1147.9,822.56,4,4
1152.5,822.1,4,4
1157,821.6,4,4
1161.6,821.06,4,4
1166.2,820.49,4,4
1170.8,819.88,4,4
1175.3,819.23,4,4
1179.9,818.55,4,4
1184.4,817.83,4,4
1189,817.08,4,4
1193.5,816.3,4,4
1198,815.49,4,4
1202.5,814.66,4,4
1207.1,813.79,4,4
1211.5,812.91,4,4
1216,811.99,4,4
1220.6,811.06,4,4
1225.1,810.1,4,4
1229.5,809.12,4,4
1234.1,808.11,4,4
1238.5,807.09,4,4
1243,806.05,4,4
1247.5,804.98,4,4
1252,803.9,4,4
1256.5,802.8,4,4
1260.9,801.69,4,4
1265.4,800.56,4,4
1269.8,799.4,4,4
1274.3,798.23,4,4
1278.7,797.03,4,4
1283.1,795.81,4,4
1287.6,794.57,4,4
1292,793.29,4,4
1296.4,791.99,4,4
1300.8,790.63,4,4
1305.2,789.22,4,4
1309.5,787.73,4,4
1313.9,786.15,4,4
1318.1,784.46,4,4
1322.3,782.62,4,4
1326.5,780.61,4,4
1330.5,778.38,4,4
1333.6,776.32,4,4
1336,774.55,4,4
1338.2,772.62,4,4
1340,770.83,4,4
1341.2,769.33,4,4
1342.4,767.74,4,4
1343.2,766.23,4,4
1343.9,764.74,4,4
1344.5,763.33,4,4
1344.8,761.88,4,4
1345.1,760.51,4,4
1345.2,759.12,4,4
1345.1,757.66,4,4
1344.9,756.18,4,4
1344.6,754.53,4,4
1344,752.93,4,4
1343.3,751.25,4,4
1342.4,749.52,4,4
1341.2,747.67,4,4
1339.6,745.71,4,4
1338,743.87,4,4
1335.7,741.72,4,4
1333.3,739.73,4,4
1330.2,737.53,4,4
1326.6,735.28,4,4
1322.5,733.1,4,4
1318.4,731.12,4,4
1314.2,729.34,4,4
1309.9,727.74,4,4
1305.6,726.29,4,4
1301.1,724.98,4,4
1296.7,723.82,4,4
1292.2,722.78,4,4
1287.7,721.86,4,4
1283.2,721.06,4,4
1278.7,720.37,4,4
1274.1,719.79,4,4
1269.5,719.3,4,4
1264.9,718.91,4,4
1260.3,718.59,4,4
1255.7,718.36,4,4
1251.1,718.19,4,4
1246.5,718.09,4,4
1241.9,718.03,4,4
1237.3,718.04,4,4
1232.7,718.12,4,4
1228.1,718.2,4,4
1223.5,718.34,4,4
1218.9,718.49,4,4
1214.3,718.68,4,4
1209.7,718.88,4,4
1205.1,719.1,4,4
1200.5,719.33,4,4
1195.9,719.58,4,4
1191.3,719.84,4,4
